APPEND: Start: 4011293542, End: 4021683083, Latency: 10389541 µs
APPEND: Start: 4021733375, End: 4032190292, Latency: 10456917 µs
GET: Start: 4032253167, End: 4042643542, Latency: 10390375 µs
GET: Start: 4042700708, End: 4053042000, Latency: 10341292 µs
GET: Start: 4053108125, End: 4063457833, Latency: 10349708 µs
APPEND: Start: 4063512167, End: 4074010333, Latency: 10498166 µs
APPEND: Start: 4074079958, End: 4084435792, Latency: 10355834 µs
GET: Start: 4084496167, End: 4094891542, Latency: 10395375 µs
GET: Start: 4094938958, End: 4105230500, Latency: 10291542 µs
APPEND: Start: 4105305292, End: 4115784458, Latency: 10479166 µs
APPEND: Start: 4115835458, End: 4126210750, Latency: 10375292 µs
GET: Start: 4126276250, End: 4136651375, Latency: 10375125 µs
APPEND: Start: 4136695333, End: 4147122333, Latency: 10427000 µs
GET: Start: 4147183042, End: 4157575958, Latency: 10392916 µs
APPEND: Start: 4157639292, End: 4167952792, Latency: 10313500 µs
APPEND: Start: 4168029042, End: 4178440292, Latency: 10411250 µs
APPEND: Start: 4178509292, End: 4188964458, Latency: 10455166 µs
APPEND: Start: 4189026875, End: 4199391167, Latency: 10364292 µs
APPEND: Start: 4199462250, End: 4209879583, Latency: 10417333 µs
GET: Start: 4209943458, End: 4220289250, Latency: 10345792 µs
GET: Start: 4220342292, End: 4230724250, Latency: 10381958 µs
GET: Start: 4230766917, End: 4241113750, Latency: 10346833 µs
GET: Start: 4241173583, End: 4251726250, Latency: 10552667 µs
APPEND: Start: 4251803958, End: 4262137458, Latency: 10333500 µs
APPEND: Start: 4262212750, End: 4272533625, Latency: 10320875 µs
GET: Start: 4272597750, End: 4282983167, Latency: 10385417 µs
GET: Start: 4283051500, End: 4293460708, Latency: 10409208 µs
APPEND: Start: 4293521583, End: 4303856333, Latency: 10334750 µs
APPEND: Start: 4303918375, End: 4314309667, Latency: 10391292 µs
GET: Start: 4314355417, End: 4324704750, Latency: 10349333 µs
GET: Start: 4324752208, End: 4335592083, Latency: 10839875 µs
APPEND: Start: 4335647750, End: 4345968042, Latency: 10320292 µs
GET: Start: 4346011375, End: 4356391417, Latency: 10380042 µs
APPEND: Start: 4356455458, End: 4366963833, Latency: 10508375 µs
APPEND: Start: 4367040208, End: 4377432875, Latency: 10392667 µs
GET: Start: 4377497833, End: 4387909917, Latency: 10412084 µs
GET: Start: 4387951208, End: 4398324083, Latency: 10372875 µs
APPEND: Start: 4398377917, End: 4408848917, Latency: 10471000 µs
GET: Start: 4408915042, End: 4419265833, Latency: 10350791 µs
GET: Start: 4419309375, End: 4429739792, Latency: 10430417 µs
APPEND: Start: 4429788167, End: 4440167833, Latency: 10379666 µs
GET: Start: 4440241917, End: 4450618917, Latency: 10377000 µs
GET: Start: 4450667958, End: 4461094250, Latency: 10426292 µs
APPEND: Start: 4461139375, End: 4471449500, Latency: 10310125 µs
GET: Start: 4471498208, End: 4481874083, Latency: 10375875 µs
GET: Start: 4481928708, End: 4492354917, Latency: 10426209 µs
GET: Start: 4492421750, End: 4502761000, Latency: 10339250 µs
GET: Start: 4502801542, End: 4513213000, Latency: 10411458 µs
GET: Start: 4513261958, End: 4523590458, Latency: 10328500 µs
GET: Start: 4523635542, End: 4534021917, Latency: 10386375 µs
APPEND: Start: 4534096292, End: 4544450542, Latency: 10354250 µs
APPEND: Start: 4544525167, End: 4554885458, Latency: 10360291 µs
APPEND: Start: 4554959833, End: 4565360292, Latency: 10400459 µs
GET: Start: 4565453833, End: 4575983875, Latency: 10530042 µs
GET: Start: 4576063375, End: 4586509500, Latency: 10446125 µs
APPEND: Start: 4586564417, End: 4597396833, Latency: 10832416 µs
GET: Start: 4597556458, End: 4611993792, Latency: 14437334 µs
APPEND: Start: 4613820792, End: 4631719458, Latency: 17898666 µs
GET: Start: 4631943875, End: 4642527625, Latency: 10583750 µs
APPEND: Start: 4642601125, End: 4653645708, Latency: 11044583 µs
GET: Start: 4653813792, End: 4667395583, Latency: 13581791 µs
APPEND: Start: 4667479708, End: 4680959250, Latency: 13479542 µs
GET: Start: 4681070542, End: 4691573958, Latency: 10503416 µs
APPEND: Start: 4691634167, End: 4702029833, Latency: 10395666 µs
GET: Start: 4702123333, End: 4712621750, Latency: 10498417 µs
